id,Target
7313399730,24833.036193609514
7308035814,28328.67170449506
7317063645,47335.69821666997
7310376764,24698.33268334547
7309848062,27003.33863771035
7308652719,26393.26030384295
7309810883,32224.671886513974
7315292919,35297.79212377349
7315244945,67565.4807361183
7307466396,28197.383803977413
7313413824,32450.992009420297
7316238284,25176.586552865636
7312276431,24853.52547576454
7305280252,27678.916681295064
7302883143,29687.453119759553
7312758319,42348.04400511646
7314518589,55235.60966777665
7310683757,32415.439242449316
7314954949,29349.80476626439
7314371573,36215.67150074545
7315702010,26196.822278948646
7311290356,14910.611329928113
7307673879,58552.502641091625
7316198295,46407.81330155408
7310285295,44838.834441887324
7310041658,34135.21658207309
7312308204,26676.650460297747
7315385121,16803.677598329734
7316312745,30715.30702944902
7313844269,28795.637736344244
7315403730,30991.58136938419
7312811677,20818.20326016474
7313414155,41735.44199573176
7308508526,39135.26926210906
7307331476,44800.48791084939
7309941935,63757.907956011724
7312743685,28246.252765095825
7316189838,41096.50187858584
7309693455,65548.22066104351
7315510035,36818.120831719396
7306583485,46701.67080693192
7315276034,36916.024383199016
7314004250,36471.58520981644
7314593301,6240.069192105057
7314743066,22773.18290973759
7316805114,4516.9260188777225
7315084900,4082.9193103541547
7307413052,31043.6486338607
7304379175,20616.34180260572
7303332246,35297.14838510614
7316075328,30146.920670244475
7316506428,17152.45520829906
7314307933,28004.023100839324
7310628389,31403.849908044795
7310897370,29828.12288964023
7316560942,43354.94324351601
7316850950,33572.607379343994
7316449248,24969.214510553713
7311763741,29715.185192371966
7315535558,24908.55593555615
7315091662,31298.42390686649
7314623929,29944.602803363574
7311347504,42154.6814009757
7314761571,31429.1416388502
7313012692,35922.49451910167
7305910335,30054.95800348043
7313048856,33341.30287989906
7313237338,28743.347764022205
7307234981,47058.48405297375
7316772101,48884.17831993267
7316995252,63696.81176221904
7314903713,26567.86062296117
7314651199,164829.38808428065
7310333211,34399.00229541908
7312358702,30749.4252752611
7315710226,64094.60747101889
7313546237,29004.117101898337
7308093136,48076.89891825484
7302835230,36178.75768630636
7307360947,20683.533130955468
7314987480,52464.23733270333
7305140318,28598.490168780776
7315008647,32851.69364204728
7315695315,34168.93199671146
7302216516,24345.76280749353
7316849420,47543.423488356595
7315979358,40173.215096808155
7316792418,23665.92477498129
7307261739,39819.655428167105
7308033528,26991.953659564962
7311676603,-18341.648016090272
7309801230,28891.90425591285
